FECHA_CORTE,UUID,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,SEXO,FECHA_NACIMIENTO,EDAD,FACULTAD,ESCUELA_ACADEMICA,NIVEL_ACAD,ANIO_MAT1,SEM_MATRICULA1,N_RAC_DESAYUNO,N_RAC_ALMUERZO,N_RAC_CENA
20230620,47C8D57D5CE44E89896A3463E6BCBE03,100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,20030525,20,DERECHO Y CIENCIAS POLÍTICAS,DERECHO Y CIENCIAS POLÍTICAS,PREGRADO,2023,1,34,36,28
20230620,5C6151627E5E4A3481D9C7215CF854B4,100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,20041206,18,INGENIERÍA CIVIL Y ARQUITECTURA,ARQUITECTURA,PREGRADO,2023,1,35,37,30
20230620,D196ADF9FB1841F3A1BAF3904DC77BFD,100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,20030212,20,MEDICINA VETERINARIA Y ZOOTECNIA,MEDICINA VETERINARIA,PREGRADO,2022,1,33,36,30
20230620,F1B2509CD5544616A81A2E5CEE240AC5,020101,ANCASH,HUARAZ,HUARAZ,MASCULINO,20000925,22,CIENCIAS CONTABLES Y FINANCIERAS,CIENCIAS CONTABLES Y FINANCIERAS,PREGRADO,2019,1,30,37,27
20230620,9DB13B96080A4524881F4F50FBC9B291,020508,ANCASH,BOLOGNESI,HUALLANCA,MASCULINO,20020128,21,DERECHO Y CIENCIAS POLÍTICAS,DERECHO Y CIENCIAS POLÍTICAS,PREGRADO,2021,1,32,37,31
20230620,4CF33480F40E467FB94A0CF0F0058B19,020508,ANCASH,BOLOGNESI,HUALLANCA,MASCULINO,20000515,23,CIENCIAS CONTABLES Y FINANCIERAS,CIENCIAS CONTABLES Y FINANCIERAS,PREGRADO,2021,1,31,35,28
20230620,162FBBC25908473F81C370BEEF834E5F,020508,ANCASH,BOLOGNESI,HUALLANCA,FEMENINO,20000916,22,CIENCIAS SOCIALES,SOCIOLOGÍA,PREGRADO,2020,1,35,37,31
20230620,DB6EE82E8E5D4CA5AA769E57F26E12AB,040101,AREQUIPA,AREQUIPA,AREQUIPA,MASCULINO,20000214,23,CIENCIAS DE LA EDUCACIÓN,"FILOSOFÍA, PSICOLOGÍA Y CIENCIAS SOCIALES",PREGRADO,2021,1,14,32,29
20230620,F97DD41509254D47AC3272ABC9178DA4,050101,AYACUCHO,HUAMANGA,AYACUCHO,MASCULINO,20000701,22,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2020,1,38,37,31
20230620,5450F0E5ED4F41528C21D326D6CB4E08,050501,AYACUCHO,LA MAR,SAN MIGUEL,MASCULINO,20040122,19,ENFERMERÍA,ENFERMERÍA,PREGRADO,2021,1,13,30,26
20230620,CFDE3C5C0626418392CA70791680282D,080101,CUSCO,CUSCO,CUSCO,FEMENINO,20040903,18,OBSTETRICIA,OBSTETRICIA,PREGRADO,2022,1,29,37,31
20230620,EE792C001ACB47E78657E146AAF876B5,100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,19930301,30,CIENCIAS AGRARIAS,INGENIERÍA AGRONÓMICA,PREGRADO,2022,1,35,37,31
20230620,0ED09F5D56E24B42B4B73BFDEBE0CFA2,100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,20020726,20,CIENCIAS AGRARIAS,INGENIERÍA AGRONÓMICA,PREGRADO,2022,1,37,37,31
20230620,B83CFACB8D5C4D07B3C2FF38ADB867C9,100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,20050309,18,CIENCIAS AGRARIAS,INGENIERÍA AGRONÓMICA,PREGRADO,2023,1,35,36,30
20230620,D434C78CE93D4FB895E89D0D1C86EDFA,100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,20020521,21,CIENCIAS AGRARIAS,INGENIERÍA AGRONÓMICA,PREGRADO,2021,1,33,37,28
20230620,EE9CF404B37A4EA79C9DAD8405431000,100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,20041007,18,CIENCIAS AGRARIAS,INGENIERÍA AGRONÓMICA,PREGRADO,2023,1,37,37,30
20230620,A9D7934DAA104D7FA23223D66115FC48,100101,HUANUCO,HUANUCO,HUANUCO,MASCULINO,20030220,20,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2019,1,38,37,31
20230620,9784F95E83DC403A8C3EC94E15F67316,100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,20000309,23,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2021,1,17,19,11
20230620,BA5D661D068A4E6F9F96E8597B5F6DD8,100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,19961022,26,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2017,1,38,35,29
20230620,CA377C54736B4A658D6F347C210F2BB5,100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,20001013,22,MEDICINA VETERINARIA Y ZOOTECNIA,MEDICINA VETERINARIA,PREGRADO,2019,1,26,33,27
20230620,D08653B0A0E1468BAB5E0451E61D4FDD,100101,HUANUCO,HUANUCO,HUANUCO,FEMENINO,20020809,20,PSICOLOGÍA,PSICOLOGÍA,PREGRADO,2022,1,31,37,31
